models=FreeWay	maxpausetime=10	minspeed=5	fixedacceleration=false	maps=FreeWay	dir1lanespace=0	height=500	lanenum=2	width=500	dir2lanespace=50	pointsX=50.0,50.0,343.0,472.0,	dir12space=0	pointsY=50.0,340.0,340.0,445.0,	maxacceleration=2	maxspeed=10	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=2	maxsimulationtime=300
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	265	340	0.06	0
1	1	324	340	1.6	0
2	0	265	340	0	0
2	1	327	340	3.06	0
3	0	265	340	0	0
3	1	332	340	4.98	0
4	0	265	340	0.25	0
4	1	336	340	3.81	0
5	0	265	340	0	0
5	1	340	340	4.45	0
6	0	265	340	0.04	0
6	1	343	340	4.85	0
7	0	265	340	0	0
7	1	347	343	5.45	0.68
8	0	265	340	0.26	0
8	1	352	347	6.99	0.68
9	0	267	340	1.84	0
9	1	358	352	7.83	0.68
10	0	269	340	2.13	0
10	1	363	356	6.66	0.68
11	0	271	340	2.31	0
11	1	368	360	6.21	0.68
12	0	274	340	2.66	0
12	1	374	365	7.51	0.68
13	0	275	340	0.93	0
13	1	379	369	5.84	0.68
14	0	276	340	0.97	0
14	1	383	372	5.38	0.68
15	0	278	340	2.5	0
15	1	387	376	6.08	0.68
16	0	283	340	4.4	0
16	1	393	381	7.62	0.68
17	0	285	340	2.51	0
17	1	400	387	8.96	0.68
18	0	286	340	0.85	0
18	1	408	393	10	0.68
19	0	286	340	0	0
19	1	416	399	10	0.68
20	0	286	340	0	0
20	1	424	405	10	0.68
21	0	288	340	1.26	0
21	1	431	412	9.9	0.68
22	0	289	340	1.29	0
22	1	439	418	9.58	0.68
23	0	292	340	3.23	0
23	1	445	423	8.6	0.68
24	0	296	340	4.08	0
24	1	451	428	7.73	0.68
25	0	300	340	4.03	0
25	1	459	434	9.47	0.68
26	0	306	340	5.47	0
26	1	466	440	10	0.68
27	0	311	340	5.5	0
27	1	472	445	10	0.68
28	0	318	340	7.15	0
28	1	472	445	10	0
29	0	324	340	5.95	0
29	1	472	445	9.66	3.82
30	0	332	340	7.77	0
30	1	465	440	7.85	3.82
31	0	340	340	7.68	0
31	1	460	435	6.7	3.82
32	0	343	340	8.46	0
32	1	454	430	8.09	3.82
33	0	349	345	8.6	0.68
33	1	446	424	9.68	3.82
34	0	356	350	8.73	0.68
34	1	439	418	9.72	3.82
35	0	363	356	9.06	0.68
35	1	433	413	8.03	3.82
36	0	371	362	9.83	0.68
36	1	426	408	8.47	3.82
37	0	378	368	9.37	0.68
37	1	419	402	9.12	3.82
38	0	386	375	10	0.68
38	1	411	395	10	3.82
39	0	393	381	10	0.68
39	1	404	389	10	3.82
40	0	401	387	10	0.68
40	1	396	383	9.86	3.82
41	0	409	393	9.87	0.68
41	1	389	377	8.89	3.82
42	0	417	400	10	0.68
42	1	381	371	10	3.82
43	0	424	406	10	0.68
43	1	373	365	10	3.82
44	0	432	412	10	0.68
44	1	366	358	10	3.82
45	0	439	418	8.45	0.68
45	1	359	353	8.09	3.82
46	0	446	424	9.68	0.68
46	1	353	348	8.2	3.82
47	0	454	430	9.68	0.68
47	1	346	342	9.75	3.82
48	0	460	435	7.81	0.68
48	1	343	340	9.82	3.82
49	0	465	440	7.39	0.68
49	1	333	340	10	3.14
50	0	472	445	7.97	0.68
50	1	323	340	10	3.14
51	0	472	445	8.11	0
51	1	314	340	8.69	3.14
52	0	472	445	8.32	3.82
52	1	305	340	8.52	3.14
53	0	465	439	8.68	3.82
53	1	298	340	6.89	3.14
54	0	459	434	7.79	3.82
54	1	291	340	7.53	3.14
55	0	454	430	5.81	3.82
55	1	282	340	8.38	3.14
56	0	448	426	7.75	3.82
56	1	273	340	9.72	3.14
57	0	443	421	6.88	3.82
57	1	265	340	7.77	3.14
