
1	0	0	114	1.31	4.71
1	1	0	242	0	4.71
2	0	0	111	3.12	4.71
2	1	0	242	0	4.71
3	0	0	106	4.97	4.71
3	1	0	241	0.88	4.71
4	0	0	101	5.03	4.71
4	1	0	239	1.34	4.71
5	0	0	95	6.13	4.71
5	1	0	239	0.06	4.71
6	0	0	89	5.9	4.71
6	1	0	238	0.97	4.71
7	0	0	83	6.41	4.71
7	1	0	237	1	4.71
8	0	0	74	8.31	4.71
8	1	0	236	1.69	4.71
9	0	0	66	8.69	4.71
9	1	0	233	2.7	4.71
10	0	0	56	10	4.71
10	1	0	228	4.62	4.71
11	0	0	50	10	4.71
11	1	0	224	4.14	4.71
12	0	9	50	10	0
12	1	0	220	4.57	4.71
13	0	18	50	8.06	0
13	1	0	217	3.02	4.71
14	0	26	50	8.45	0
14	1	0	213	3.79	4.71
15	0	34	50	8.46	0
15	1	0	211	1.91	4.71
16	0	44	50	10	0
16	1	0	210	1.05	4.71
17	0	50	50	10	0
17	1	0	209	0.86	4.71
18	0	50	50	10	1.57
18	1	0	207	2.31	4.71
19	0	50	60	10	1.57
19	1	0	204	2.52	4.71
20	0	50	70	10	1.57
20	1	0	202	2.42	4.71
21	0	50	80	10	1.57
21	1	0	198	3.76	4.71
22	0	50	90	10	1.57
22	1	0	196	2.12	4.71
23	0	50	100	10	1.57
23	1	0	195	0.75	4.71
24	0	50	110	10	1.57
24	1	0	195	0.36	4.71
25	0	50	120	10	1.57
25	1	0	194	0.68	4.71
26	0	50	129	9.91	1.57
26	1	0	194	0	4.71
27	0	50	139	9.98	1.57
27	1	0	194	0	4.71
28	0	50	149	10	1.57
28	1	0	192	1.85	4.71
29	0	50	159	10	1.57
29	1	0	189	2.87	4.71
30	0	50	169	10	1.57
30	1	0	186	3.08	4.71
31	0	50	178	9.02	1.57
31	1	0	185	1.45	4.71
32	0	50	188	9.6	1.57
32	1	0	183	2.05	4.71
33	0	50	196	7.93	1.57
33	1	0	179	3.92	4.71
34	0	50	205	8.69	1.57
34	1	0	174	4.6	4.71
35	0	50	215	10	1.57
35	1	0	171	2.96	4.71
36	0	50	225	10	1.57
36	1	0	167	4.7	4.71
37	0	50	235	10	1.57
37	1	0	161	5.92	4.71
38	0	50	245	10	1.57
38	1	0	153	7.38	4.71
39	0	50	255	10	1.57
39	1	0	144	9.12	4.71
40	0	50	265	10	1.57
40	1	0	134	10	4.71
41	0	50	275	10	1.57
41	1	0	124	10	4.71
42	0	50	285	10	1.57
42	1	0	114	10	4.71
43	0	50	295	10	1.57
43	1	0	104	10	4.71
44	0	50	305	10	1.57
44	1	0	95	8.98	4.71
45	0	50	314	9.3	1.57
45	1	0	87	8.64	4.71
46	0	50	324	10	1.57
46	1	0	78	8.5	4.71
47	0	50	334	10	1.57
47	1	0	68	9.86	4.71
48	0	50	340	9.57	1.57
48	1	0	58	10	4.71
49	0	50	340	10	0
49	1	0	50	8.62	4.71
50	0	59	340	9.66	0
50	1	0	50	6.75	4.71
51	0	69	340	10	0
51	1	8	50	8.12	0
52	0	79	340	10	0
52	1	15	50	7.71	0
53	0	89	340	10	0
53	1	25	50	9.21	0
54	0	99	340	10	0
54	1	33	50	8.24	0
55	0	109	340	10	0
55	1	43	50	9.73	0
56	0	119	340	10	0
56	1	50	50	7.98	0
57	0	129	340	10	0
57	1	50	50	8.85	1.57
58	0	139	340	10	0
58	1	50	60	10	1.57
59	0	149	340	10	0
59	1	50	68	8.47	1.57
60	0	159	340	10	0
60	1	50	78	9.53	1.57
61	0	168	340	8.34	0
61	1	50	85	7.86	1.57
62	0	177	340	9.49	0
62	1	50	95	9.53	1.57
63	0	186	340	9.47	0
63	1	50	103	7.61	1.57
64	0	196	340	10	0
64	1	50	110	7.17	1.57
65	0	201	340	10	0
65	1	50	117	7.61	1.57
66	0	201	340	9.31	0
66	1	50	126	8.72	1.57
67	0	210	340	9.4	0
67	1	50	135	9.33	1.57
68	0	220	340	10	0
68	1	50	145	9.88	1.57
69	0	228	340	8.1	0
69	1	50	155	10	1.57
70	0	238	340	9.61	0
70	1	50	165	10	1.57
71	0	248	340	10	0
71	1	50	173	8.04	1.57
72	0	251	340	10	0
72	1	50	182	9.06	1.57
73	0	251	340	10	2.94
73	1	50	192	10	1.57
74	0	242	341	8.22	2.94
74	1	50	202	10	1.57
75	0	233	343	9.5	2.94
75	1	50	212	10	1.57
76	0	223	345	10	2.94
76	1	50	221	8.36	1.57
77	0	214	347	10	2.94
77	1	50	228	7.23	1.57
78	0	205	349	8.91	2.94
78	1	50	236	7.99	1.57
79	0	196	350	9.09	2.94
79	1	50	242	6.43	1.57
80	0	187	352	9.26	2.94
80	1	50	249	6.71	1.57
81	0	177	354	10	2.94
81	1	50	256	6.75	1.57
82	0	167	356	9.79	2.94
82	1	50	261	5.57	1.57
83	0	158	358	10	2.94
83	1	50	265	3.69	1.57
84	0	148	360	10	2.94
84	1	50	270	4.6	1.57
85	0	138	362	10	2.94
85	1	50	275	5.29	1.57
86	0	128	364	10	2.94
86	1	50	282	7.07	1.57
87	0	118	366	10	2.94
87	1	50	290	8.26	1.57
88	0	109	368	9.42	2.94
88	1	50	300	9.34	1.57
89	0	99	370	10	2.94
89	1	50	307	7.43	1.57
90	0	89	372	10	2.94
90	1	50	316	8.98	1.57
91	0	80	374	10	2.94
91	1	50	324	7.95	1.57
92	0	70	375	10	2.94
92	1	50	331	7.19	1.57
93	0	60	377	10	2.94
93	1	50	340	8.91	1.57
94	0	50	379	10	2.94
94	1	50	340	7.88	0
95	0	40	381	10	2.94
95	1	58	340	8.55	0
96	0	31	383	10	2.94
96	1	68	340	9.68	0
97	0	21	385	10	2.94
97	1	76	340	8.69	0
98	0	11	387	10	2.94
98	1	84	340	7.59	0
99	0	3	389	8.42	2.94
99	1	93	340	9.21	0
100	0	0	390	10	2.94
100	1	102	340	9.26	0
101	0	0	380	10	4.71
101	1	112	340	10	0
102	0	0	370	10	4.71
102	1	122	340	10	0
103	0	0	360	9.26	4.71
103	1	132	340	10	0
104	0	0	352	7.81	4.71
104	1	142	340	10	0
105	0	0	343	9.44	4.71
105	1	152	340	9.81	0
106	0	0	335	8.41	4.71
106	1	162	340	10	0
107	0	0	326	8.42	4.71
107	1	172	340	10	0
108	0	0	318	7.84	4.71
108	1	182	340	9.97	0
109	0	0	312	6.61	4.71
109	1	192	340	10	0
110	0	0	305	6.9	4.71
110	1	201	340	10	0
111	0	0	299	5.59	4.71
111	1	201	340	10	0
112	0	0	295	4.47	4.71
112	1	211	340	10	0
113	0	0	290	4.53	4.71
113	1	221	340	10	0
114	0	0	288	2.62	4.71
114	1	231	340	10	0
115	0	0	285	2.52	4.71
115	1	239	340	8.63	0
116	0	0	284	1.44	4.71
116	1	248	340	8.73	0
117	0	0	282	2.09	4.71
117	1	251	340	8.94	0
118	0	0	279	2.52	4.71
118	1	251	340	7.44	2.94
119	0	0	275	4	4.71
119	1	244	341	6.86	2.94
120	0	0	271	4.26	4.71
120	1	239	342	5.28	2.94
121	0	0	268	3.21	4.71
121	1	232	343	6.37	2.94
122	0	0	265	2.44	4.71
122	1	226	344	6.8	2.94
123	0	0	263	1.92	4.71
123	1	219	346	6.4	2.94
124	0	0	260	3.2	4.71
124	1	212	347	7.52	2.94
125	0	0	257	3.17	4.71
125	1	204	349	8.63	2.94
126	0	0	252	4.55	4.71
126	1	194	351	9.64	2.94
127	0	0	246	5.94	4.71
127	1	184	353	10	2.94
128	0	0	240	6.82	4.71
128	1	174	355	10	2.94
129	0	0	232	7.29	4.71
129	1	165	357	10	2.94
130	0	0	225	7.58	4.71
130	1	155	359	10	2.94
131	0	0	216	8.7	4.71
131	1	145	361	10	2.94
132	0	0	207	9.44	4.71
132	1	135	362	9.81	2.94
133	0	0	198	8.91	4.71
133	1	126	364	10	2.94
134	0	0	188	10	4.71
134	1	116	366	10	2.94
135	0	0	178	10	4.71
135	1	106	368	10	2.94
136	0	0	168	10	4.71
136	1	96	370	10	2.94
137	0	0	158	10	4.71
137	1	88	372	8.72	2.94
138	0	0	148	10	4.71
138	1	78	374	10	2.94
139	0	0	139	8.36	4.71
139	1	69	376	8.78	2.94
140	0	0	129	10	4.71
140	1	62	377	7.02	2.94
141	0	0	119	9.92	4.71
141	1	55	379	7.84	2.94
142	0	0	109	10	4.71
142	1	45	380	9.82	2.94
143	0	0	101	8.76	4.71
143	1	36	382	8.76	2.94
144	0	0	93	8.06	4.71
144	1	27	384	9.42	2.94
145	0	0	83	9.85	4.71
145	1	19	386	8.55	2.94
146	0	0	75	8.01	4.71
146	1	12	387	6.66	2.94
147	0	0	66	9.07	4.71
147	1	7	388	5.05	2.94
148	0	0	56	10	4.71
148	1	1	389	6.36	2.94
149	0	0	50	10	4.71
149	1	0	390	7.13	2.94
150	0	9	50	10	0
150	1	0	380	9.13	4.71
151	0	19	50	10	0
151	1	0	372	8.52	4.71
152	0	29	50	10	0
152	1	0	364	7.82	4.71
153	0	39	50	10	0
153	1	0	356	7.94	4.71
154	0	49	50	10	0
154	1	0	347	9	4.71
155	0	50	50	10	0
155	1	0	338	9.15	4.71
156	0	50	50	10	1.57
156	1	0	328	10	4.71
157	0	50	60	10	1.57
157	1	0	318	10	4.71
158	0	50	70	10	1.57
158	1	0	309	9.34	4.71
159	0	50	80	10	1.57
159	1	0	301	8.04	4.71
160	0	50	90	10	1.57
160	1	0	291	9.11	4.71
161	0	50	100	10	1.57
161	1	0	282	9.43	4.71
162	0	50	110	10	1.57
162	1	0	273	9.51	4.71
163	0	50	120	10	1.57
163	1	0	263	10	4.71
164	0	50	130	10	1.57
164	1	0	253	10	4.71
165	0	50	140	10	1.57
165	1	0	243	10	4.71
166	0	50	150	10	1.57
166	1	0	233	10	4.71
167	0	50	160	10	1.57
167	1	0	223	10	4.71
168	0	50	170	10	1.57
168	1	0	213	10	4.71
169	0	50	180	10	1.57
169	1	0	203	10	4.71
170	0	50	188	8.16	1.57
170	1	0	194	8.9	4.71
171	0	50	197	9.78	1.57
171	1	0	184	9.42	4.71
172	0	50	207	9.15	1.57
172	1	0	174	9.7	4.71
173	0	50	216	9.4	1.57
173	1	0	166	8.54	4.71
174	0	50	226	10	1.57
174	1	0	157	8.81	4.71
175	0	50	236	10	1.57
175	1	0	148	8.83	4.71
176	0	50	244	8.42	1.57
176	1	0	138	10	4.71
177	0	50	254	10	1.57
177	1	0	129	8.89	4.71
178	0	50	264	10	1.57
178	1	0	122	7.15	4.71
179	0	50	274	10	1.57
179	1	0	116	6.47	4.71
180	0	50	283	8.2	1.57
180	1	0	109	6.64	4.71
181	0	50	291	8.25	1.57
181	1	0	102	6.74	4.71
182	0	50	301	10	1.57
182	1	0	94	8.56	4.71
183	0	50	311	10	1.57
183	1	0	84	10	4.71
184	0	50	321	10	1.57
184	1	0	75	9.25	4.71
185	0	50	331	10	1.57
185	1	0	65	10	4.71
186	0	50	340	10	1.57
186	1	0	56	8.31	4.71
187	0	50	340	10	0
187	1	0	50	9.25	4.71
188	0	60	340	10	0
188	1	9	50	10	0
189	0	68	340	8.73	0
189	1	19	50	10	0
190	0	76	340	7.8	0
190	1	28	50	8.58	0
191	0	84	340	8.39	0
191	1	38	50	9.54	0
192	0	93	340	8.73	0
192	1	48	50	10	0
193	0	103	340	9.67	0
193	1	50	50	10	0
194	0	113	340	10	0
194	1	50	50	10	1.57
195	0	123	340	10	0
195	1	50	60	10	1.57
196	0	133	340	9.9	0
196	1	50	70	10	1.57
197	0	142	340	9.68	0
197	1	50	78	8.92	1.57
198	0	152	340	10	0
198	1	50	87	8.2	1.57
199	0	162	340	10	0
199	1	50	95	8.8	1.57
200	0	172	340	10	0
200	1	50	105	9.79	1.57
