
1	0	50	80	0.93	1.57
1	1	-5	427	0.31	2.86
2	0	50	80	0	1.57
2	1	-6	427	1.19	2.86
3	0	50	81	0.77	1.57
3	1	-8	428	2.55	2.86
4	0	50	81	0	1.57
4	1	-12	429	4.31	2.86
5	0	50	83	1.95	1.57
5	1	-17	430	4.54	2.86
6	0	50	86	3.67	1.57
6	1	-22	432	5	2.86
7	0	50	89	2.45	1.57
7	1	-27	433	5.36	2.86
8	0	50	90	1.3	1.57
8	1	-34	435	7.18	2.86
9	0	50	92	1.8	1.57
9	1	-42	437	8.8	2.86
10	0	50	94	1.91	1.57
10	1	-49	440	7.89	2.86
11	0	50	94	0	1.57
11	1	-49	432	7.41	4.71
12	0	50	94	0	1.57
12	1	-49	425	7.03	4.71
13	0	50	95	1.2	1.57
13	1	-49	418	6.67	4.71
14	0	50	97	1.73	1.57
14	1	-49	411	7.24	4.71
15	0	50	97	0.31	1.57
15	1	-49	403	8.64	4.71
16	0	50	97	0	1.57
16	1	-49	393	9.31	4.71
17	0	50	99	1.78	1.57
17	1	-49	384	8.98	4.71
18	0	50	102	2.82	1.57
18	1	-49	375	9.5	4.71
19	0	50	105	3.63	1.57
19	1	-49	365	10	4.71
20	0	50	110	4.5	1.57
20	1	-49	357	8.02	4.71
