models=FreeWay	maxpausetime=10	minspeed=5	fixedacceleration=false	maps=FreeWay	dir1lanespace=0	height=500	lanenum=1	width=500	dir2lanespace=0	pointsX=50.0,50.0,343.0,472.0,	dir12space=0	pointsY=50.0,340.0,340.0,445.0,	maxacceleration=2	maxspeed=10	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=2	maxsimulationtime=100
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	351	347	1.81	0.68
1	1	50	273	1.32	1.57
2	0	352	347	0.8	0.68
2	1	50	273	0	1.57
3	0	352	347	0	0.68
3	1	50	273	0	1.57
4	0	352	348	0.76	0.68
4	1	50	274	0.75	1.57
5	0	352	348	0	0.68
5	1	50	276	1.84	1.57
6	0	353	348	0.51	0.68
6	1	50	279	3.13	1.57
7	0	354	348	0.82	0.68
7	1	50	281	2.28	1.57
8	0	355	350	2.14	0.68
8	1	50	284	2.78	1.57
9	0	357	351	2.07	0.68
9	1	50	287	3.01	1.57
10	0	359	353	2.86	0.68
10	1	50	288	1.63	1.57
11	0	362	356	4.39	0.68
11	1	50	291	2.29	1.57
12	0	367	359	5.47	0.68
12	1	50	294	3.44	1.57
13	0	370	362	3.81	0.68
13	1	50	299	5.02	1.57
14	0	374	365	5.3	0.68
14	1	50	305	5.86	1.57
15	0	379	369	6.44	0.68
15	1	50	313	7.62	1.57
16	0	383	372	5.02	0.68
16	1	50	320	7.44	1.57
17	0	386	375	4.67	0.68
17	1	50	329	8.86	1.57
18	0	391	379	6.57	0.68
18	1	50	338	9.33	1.57
19	0	397	384	7.98	0.68
19	1	50	340	10	1.57
20	0	404	389	8.1	0.68
20	1	50	340	9.11	0
21	0	409	394	6.77	0.68
21	1	60	340	10	0
22	0	414	397	6.09	0.68
22	1	70	340	10	0
23	0	419	402	6.62	0.68
23	1	80	340	10	0
24	0	425	406	7.45	0.68
24	1	90	340	10	0
25	0	430	411	7.31	0.68
25	1	99	340	9.02	0
26	0	435	415	6.12	0.68
26	1	106	340	7.73	0
27	0	441	420	7.44	0.68
27	1	115	340	9.21	0
28	0	447	425	7.88	0.68
28	1	125	340	10	0
29	0	454	431	9.69	0.68
29	1	135	340	10	0
30	0	462	436	9.2	0.68
30	1	145	340	10	0
31	0	469	443	10	0.68
31	1	154	340	8.5	0
32	0	472	445	10	0.68
32	1	163	340	9.21	0
33	0	472	445	10	0
