
1	0	421	397	0	3.97
1	1	50	223	0	1.57
2	0	421	397	0.68	3.97
2	1	50	224	0.73	1.57
3	0	421	397	0	3.97
3	1	50	224	0.47	1.57
4	0	420	396	0.64	3.97
4	1	50	224	0	1.57
5	0	419	395	1.27	3.97
5	1	50	225	1.12	1.57
6	0	418	394	1.27	3.97
6	1	50	228	2.09	1.57
7	0	416	392	3.02	3.97
7	1	50	230	2.23	1.57
8	0	416	391	1.15	3.97
8	1	50	230	0.72	1.57
9	0	414	389	3.08	3.97
9	1	50	233	2.32	1.57
10	0	412	387	2.25	3.97
10	1	50	236	3.67	1.57
11	0	410	385	2.88	3.97
11	1	50	241	4.47	1.57
12	0	408	383	3.35	3.97
12	1	50	246	5.16	1.57
13	0	404	379	4.94	3.97
13	1	50	253	7.12	1.57
14	0	402	376	3.61	3.97
14	1	50	260	7.18	1.57
15	0	399	374	3.77	3.97
15	1	50	268	7.92	1.57
16	0	397	371	3	3.97
16	1	50	278	9.59	1.57
17	0	394	368	4.92	3.97
17	1	50	286	8.39	1.57
18	0	391	364	5.02	3.97
18	1	50	296	9.66	1.57
19	0	386	359	6.64	3.97
19	1	50	306	10	1.57
20	0	381	353	8.29	3.97
20	1	50	316	9.61	1.57
21	0	374	346	10	3.97
21	1	50	326	10	1.57
22	0	367	338	10	3.97
22	1	50	336	10	1.57
23	0	361	332	8.39	3.97
23	1	50	340	9.55	1.57
24	0	357	327	6.76	3.97
24	1	50	340	7.57	0
25	0	354	323	4.95	3.97
25	1	58	340	8.86	0
26	0	351	320	3.98	3.97
26	1	68	340	10	0
27	0	347	316	5.72	3.97
27	1	78	340	10	0
28	0	343	312	6.11	3.97
28	1	88	340	10	0
29	0	337	306	8.03	3.97
29	1	98	340	10	0
30	0	333	301	7.16	3.97
30	1	108	340	10	0
31	0	327	295	7.61	3.97
31	1	118	340	10	0
32	0	323	290	9.54	3.97
32	1	128	340	10	0
33	0	313	290	10	3.14
33	1	138	340	10	0
34	0	303	290	10	3.14
34	1	148	340	10	0
35	0	293	290	10	3.14
35	1	158	340	9.46	0
36	0	284	290	8.01	3.14
36	1	168	340	10	0
37	0	277	290	7.37	3.14
37	1	178	340	10	0
38	0	268	290	8.66	3.14
38	1	188	340	10	0
39	0	262	290	6.8	3.14
39	1	198	340	10	0
