
1	0	126	126	0.65	0.79
1	1	314	352	0	3.46
1	2	199	272	0.03	4.71
1	3	414	438	1.32	0.32
1	4	199	194	0	4.71
1	5	234	325	0	3.46
1	6	323	355	1.38	3.46
1	7	150	319	0	1.57
1	8	212	318	1.38	3.46
1	9	413	385	0	3.46
1	10	383	427	1.24	0.32
1	11	117	117	0.62	0.79
1	12	372	424	0.01	0.32
1	13	187	362	0.88	0.32
1	14	267	389	0.33	0.32
1	15	410	384	0.52	3.46
1	16	118	47	0	3.93
1	17	291	397	0.73	0.32
1	18	447	396	1.54	3.46
1	19	107	107	0	0.79
1	20	196	365	1.18	0.32
1	21	206	368	0	0.32
1	22	199	212	1.36	4.71
1	23	281	393	1.45	0.32
1	24	150	308	0	1.57
1	25	287	342	1.83	3.46
1	26	442	394	0.36	3.46
1	27	410	436	1.4	0.32
1	28	200	314	1.66	3.46
1	29	221	373	1.88	0.32
2	0	128	128	1.64	0.79
2	1	314	351	0.1	3.46
2	2	199	272	0.06	4.71
2	3	415	438	0.81	0.32
2	4	199	193	1.11	4.71
2	5	233	325	0.93	3.46
2	6	320	354	2.9	3.46
2	7	150	319	0	1.57
2	8	210	317	1.88	3.46
2	9	412	384	1.01	3.46
2	10	386	428	2.86	0.32
2	11	118	118	1.2	0.79
2	12	372	424	0	0.32
2	13	189	363	1.59	0.32
2	14	269	389	2.17	0.32
2	15	409	383	1.66	3.46
2	16	118	47	0.59	3.93
2	17	293	397	2.41	0.32
2	18	447	396	0.78	3.46
2	19	107	107	0	0.79
2	20	199	366	2.6	0.32
2	21	208	369	1.64	0.32
2	22	199	212	0	4.71
2	23	284	394	3.07	0.32
2	24	150	309	1.86	1.57
2	25	286	342	1.08	3.46
2	26	442	394	0.12	3.46
2	27	412	437	1.77	0.32
2	28	200	314	0.37	3.46
2	29	223	374	2.49	0.32
3	0	130	130	3.43	0.79
3	1	312	351	1.37	3.46
3	2	199	272	0.17	4.71
3	3	417	439	2.54	0.32
3	4	199	191	2.18	4.71
3	5	232	324	0.6	3.46
3	6	319	353	1.37	3.46
3	7	150	321	1.75	1.57
3	8	208	316	2.67	3.46
3	9	410	384	1.87	3.46
3	10	390	430	4.2	0.32
3	11	118	118	0.2	0.79
3	12	372	424	0	0.32
3	13	191	363	2.44	0.32
3	14	271	390	1.7	0.32
3	15	408	383	1.01	3.46
3	16	117	46	0.91	3.93
3	17	295	398	1.97	0.32
3	18	447	396	0	3.46
3	19	107	107	0	0.79
3	20	202	367	3.14	0.32
3	21	210	370	2.23	0.32
3	22	199	212	0	4.71
3	23	287	395	2.74	0.32
3	24	150	312	2.48	1.57
3	25	284	342	1.51	3.46
3	26	441	394	1.06	3.46
3	27	415	438	2.54	0.32
