models=Manhattan	maxpausetime=2	minspeed=22	fixedacceleration=false	maps=Manhattan	height=500	hlines=160,	width=500	dir12lanespace=50	vlines=0,	maxacceleration=10	maxspeed=33	safedistanceratio=2.0	positiveaccratio=2.0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	0	210	0	0
1	1	0	160	0	-1.57
1	2	50	75	4.93	1.57
1	3	0	160	0	-1.57
1	4	50	497	4.08	1.57
1	5	50	31	8.09	1.57
1	6	0	160	0	-1.57
1	7	50	252	4.06	1.57
1	8	50	245	4.06	1.57
1	9	0	160	0	0
2	0	0	210	0	0
2	1	0	160	0	-1.57
2	2	50	84	8.72	1.57
2	3	0	160	0	-1.57
2	4	50	500	4.49	1.57
2	5	50	48	16.49	1.57
2	6	0	160	0	-1.57
2	7	50	252	0	1.57
2	8	50	245	0	1.57
2	9	3	160	3.42	0
3	0	0	160	0	0
3	1	0	160	0	-1.57
3	2	50	95	10.68	1.57
3	3	0	160	0	-1.57
3	4	50	500	0	1.57
3	5	50	59	11.24	1.57
3	6	0	160	0	-1.57
3	7	50	252	0	1.57
3	8	50	245	0	1.57
3	9	3	160	0	0
4	0	0	160	0	0
4	1	0	156	3.07	-1.57
4	2	50	111	16.6	1.57
4	3	0	160	0	-1.57
4	4	0	500	0	-1.57
4	5	50	62	3.14	1.57
4	6	0	160	0	-1.57
4	7	50	255	3.64	1.57
4	8	50	248	2.62	1.57
4	9	3	160	0	0
5	0	0	160	0	0
5	1	0	150	6.41	-1.57
5	2	50	126	14.57	1.57
5	3	0	160	0	-1.57
5	4	0	498	1.78	-1.57
5	5	50	62	0	1.57
5	6	0	160	0	-1.57
5	7	50	255	0	1.57
5	8	50	249	0.55	1.57
5	9	13	160	9.63	0
6	0	0	160	0	0
6	1	0	150	0	-1.57
6	2	50	135	8.9	1.57
6	3	0	160	0	-1.57
6	4	0	488	9.76	-1.57
6	5	50	62	0	1.57
6	6	0	160	0	-1.57
6	7	50	260	4.21	1.57
6	8	50	249	0.77	1.57
6	9	23	160	10.01	0
7	0	8	160	8.9	0
7	1	0	140	9.93	-1.57
7	2	50	142	6.68	1.57
7	3	0	156	3.73	-1.57
7	4	0	485	2.48	-1.57
7	5	50	62	0	1.57
7	6	0	156	3.73	-1.57
7	7	50	267	7.45	1.57
7	8	50	252	2.65	1.57
7	9	41	160	18.67	0
8	0	23	160	14.65	0
8	1	0	124	16.24	-1.57
8	2	50	144	2.12	1.57
8	3	0	143	13.02	-1.57
8	4	0	485	0	-1.57
8	5	50	62	0	1.57
8	6	0	144	11.73	-1.57
8	7	50	278	10.88	1.57
8	8	50	252	0	1.57
8	9	66	160	25.05	0
9	0	32	160	9.26	0
9	1	0	102	21.93	-1.57
9	2	50	154	9.85	1.57
9	3	0	131	12.04	-1.57
9	4	0	477	8.77	-1.57
9	5	50	62	0	1.57
9	6	0	136	8.13	-1.57
9	7	50	293	15.18	1.57
9	8	50	257	5.24	1.57
9	9	87	160	20.77	0
10	0	35	160	2.69	0
10	1	0	87	15.29	-1.57
10	2	50	160	6.75	1.57
10	3	0	113	17.37	-1.57
10	4	0	459	18.08	-1.57
10	5	50	62	0	1.57
10	6	0	126	10.35	-1.57
10	7	50	312	18.39	1.57
10	8	50	261	3.9	1.57
10	9	115	160	27.6	0
11	0	35	160	0	0
11	1	0	80	6.82	-1.57
11	2	50	160	0	1.57
11	3	0	107	6.82	-1.57
11	4	0	439	19.96	-1.57
11	5	50	67	4.88	1.57
11	6	0	119	6.82	-1.57
11	7	50	321	8.9	1.57
11	8	50	274	13.32	1.57
11	9	148	160	33	0
12	0	38	160	2.74	0
12	1	0	75	4.7	-1.57
12	2	50	160	0	1.57
12	3	0	107	0	-1.57
12	4	0	411	27.73	-1.57
12	5	50	67	0.49	1.57
12	6	0	119	0	-1.57
12	7	50	334	13.95	1.57
12	8	50	296	21.16	1.57
12	9	180	160	32.57	0
13	0	38	160	0.21	0
13	1	0	70	4.91	-1.57
13	2	50	166	6.81	1.57
13	3	0	99	7.15	-1.57
13	4	0	378	33	-1.57
13	5	50	68	0.58	1.57
13	6	0	117	1.34	-1.57
13	7	50	339	4.06	1.57
13	8	50	309	13.49	1.57
13	9	213	160	33	0
14	0	43	160	4.83	0
14	1	0	57	12.97	-1.57
14	2	50	178	11.2	1.57
14	3	0	93	6.16	-1.57
14	4	0	345	33	-1.57
14	5	50	68	0	1.57
14	6	0	113	4.03	-1.57
14	7	50	350	11.02	1.57
14	8	50	327	17.43	1.57
14	9	239	160	25.3	0
15	0	53	160	10.12	0
15	1	0	40	17.04	-1.57
15	2	50	198	20.21	1.57
