models=FreeWay	maxpausetime=2	minspeed=22	fixedacceleration=false	maps=FreeWay	dir1lanespace=0	height=1000	lanenum=1	width=3000	dir2lanespace=0	pointsX=358.0,2577.0,2572.0,	dir12space=50	pointsY=58.0,56.0,614.0,	maxacceleration=10	maxspeed=33	safedistanceratio=2.0	positiveaccratio=5.0	filenamegenerator=simple	seed=testnew	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=70	maxsimulationtime=90
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	2575	229	6.86	1.58
1	1	467	57	4.42	6.28
1	2	836	7	3.36	3.14
1	3	1711	56	2.78	6.28
1	4	1513	6	2.48	3.14
1	5	2128	6	3.41	3.14
1	6	2207	56	7.72	6.28
1	7	1913	56	7.45	6.28
1	8	1705	56	2.78	6.28
1	9	2617	5	2.55	3.14
1	10	541	57	2.07	6.28
1	11	2371	56	1.84	6.28
1	12	917	57	5.81	6.28
1	13	635	57	0	6.28
1	14	383	57	1.66	6.28
1	15	363	57	1.26	6.28
1	16	1143	7	7.35	3.14
1	17	1441	57	3.57	6.28
1	18	739	7	0	3.14
1	19	2019	56	4.78	6.28
1	20	1720	56	8.41	6.28
1	21	411	7	6.62	3.14
1	22	1314	57	9.9	6.28
1	23	2575	232	6.86	1.58
1	24	2576	67	1.18	1.58
1	25	1681	6	5.73	3.14
1	26	2212	56	7.72	6.28
1	27	1587	6	1.73	3.14
1	28	1521	56	3.13	6.28
1	29	2277	56	3.35	6.28
1	30	622	57	4.64	6.28
1	31	714	7	3.58	3.14
1	32	1250	7	0	3.14
1	33	2282	56	1.47	6.28
1	34	2334	56	4.04	6.28
1	35	2134	56	8.71	6.28
1	36	2020	56	4.65	6.28
1	37	1275	57	9.34	6.28
1	38	2626	111	8.3	4.72
1	39	2596	5	7.64	3.14
1	40	1926	6	6.78	3.14
1	41	2626	149	0	4.72
1	42	363	7	0.05	3.14
1	43	1676	6	8.23	3.14
1	44	2576	65	1.18	1.58
1	45	2572	551	0	1.58
1	46	1797	6	1.24	3.14
1	47	563	7	0	3.14
1	48	1972	56	9.63	6.28
1	49	437	57	0	6.28
1	50	1465	57	0	6.28
1	51	1280	7	0	3.14
1	52	778	57	3.44	6.28
1	53	707	7	4	3.14
1	54	1509	6	0.45	3.14
1	55	860	57	1.24	6.28
1	56	1995	6	3.29	3.14
1	57	772	7	7.06	3.14
1	58	1894	6	2.76	3.14
1	59	2133	6	0	3.14
1	60	2282	56	1.47	6.28
1	61	2326	56	4.04	6.28
1	62	1217	57	4.52	6.28
1	63	2576	90	6.15	1.58
1	64	2547	6	0	3.14
1	65	1031	7	5.72	3.14
1	66	2117	56	5.25	6.28
1	67	1898	56	4.04	6.28
1	68	1647	56	4.08	6.28
1	69	2575	177	5.02	1.58
2	0	2575	229	0	1.58
2	1	467	57	0	6.28
2	2	824	7	12.49	3.14
2	3	1714	56	3.03	6.28
2	4	1513	6	0	3.14
