models=FreeWay	maxpausetime=2	minspeed=22	fixedacceleration=false	maps=FreeWay	dir1lanespace=0	height=1000	lanenum=1	width=3000	dir2lanespace=0	pointsX=358.0,2577.0,2572.0,	dir12space=50	pointsY=58.0,56.0,614.0,	maxacceleration=10	maxspeed=33	safedistanceratio=2.0	positiveaccratio=5.0	filenamegenerator=simple	seed=testnew	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=50	maxsimulationtime=90
Time	Node	PositionX	PositionY	Speed	Direction Angle
1	0	669	57	1.97	6.28
1	1	2576	132	2.24	1.58
1	2	1111	7	2.56	3.14
1	3	2281	6	4.81	3.14
1	4	588	7	0.76	3.14
1	5	2117	56	1.21	6.28
1	6	920	57	5.35	6.28
1	7	2575	270	8.46	1.58
1	8	2625	206	3.09	4.72
1	9	2340	6	0	3.14
1	10	2452	6	1.73	3.14
1	11	2624	331	0	4.72
1	12	1638	6	2.61	3.14
1	13	2133	56	0.35	6.28
1	14	2536	6	3.94	3.14
1	15	1327	7	2.71	3.14
1	16	550	57	2.93	6.28
1	17	2623	487	8.66	4.72
1	18	1888	6	0.85	3.14
1	19	755	57	6.42	6.28
1	20	2584	5	0.21	3.14
1	21	2300	6	0.79	3.14
1	22	390	7	0	3.14
1	23	2625	197	2.89	4.72
1	24	1824	6	5.97	3.14
1	25	791	57	0.77	6.28
1	26	2624	347	3.29	4.72
1	27	2573	453	7.1	1.58
1	28	1355	57	3.6	6.28
1	29	2098	6	0	3.14
1	30	749	57	0	6.28
1	31	2627	16	5.29	4.72
1	32	1209	57	0	6.28
1	33	2142	6	1.44	3.14
1	34	1205	57	0	6.28
1	35	2623	424	9.29	4.72
1	36	1801	56	3.98	6.28
1	37	1407	7	0	3.14
1	38	2574	336	7.11	1.58
1	39	2624	354	0.23	4.72
1	40	2544	56	3.87	6.28
1	41	1525	56	9.37	6.28
1	42	833	7	4.15	3.14
1	43	1750	6	0	3.14
1	44	1492	56	2.21	6.28
1	45	913	7	9.4	3.14
1	46	2627	23	3.96	4.72
1	47	2553	6	9.31	3.14
1	48	1291	7	9.53	3.14
1	49	2573	414	5.47	1.58
2	0	674	57	5.31	6.28
2	1	2576	145	12.16	1.58
2	2	1104	7	6.86	3.14
2	3	2269	6	11.36	3.14
2	4	580	7	8.29	3.14
2	5	2117	56	0	6.28
2	6	933	57	12.71	6.28
2	7	2574	284	14.29	1.58
2	8	2625	197	9.31	4.72
2	9	2333	6	6.87	3.14
2	10	2441	6	10.86	3.14
2	11	2624	323	7.55	4.72
2	12	1632	6	5.56	3.14
2	13	2133	56	0	6.28
2	14	2536	6	0	3.14
2	15	1322	7	5.12	3.14
2	16	553	57	3.84	6.28
2	17	2623	469	17.57	4.72
2	18	1884	6	3.95	3.14
2	19	770	57	14.82	6.28
2	20	2581	5	2.66	3.14
2	21	2300	6	0	3.14
2	22	381	7	8.66	3.14
2	23	2625	188	9.31	4.72
2	24	1811	6	13.1	3.14
2	25	799	57	7.93	6.28
2	26	2624	337	10.18	4.72
2	27	2573	463	9.38	1.58
